kinase,choose
ACVR2A,PSPA
AKT1,PSPA
AKT2,PSPA
AKT3,PSPA
ALK2,PSPA
ALK4,PSPA
AMPKA1,PSPA
AMPKA2,PSPA
ASK1,PSPA
ATM,PSPA
ATR,PSPA
AURA,PSPA
AURB,PSPA
AURC,PSPA
BMPR1B,PSPA
BRSK2,PSPA
BUB1,PSPA
CAMK1A,PSPA
CAMK1D,PSPA
CAMK2A,PSPA
CAMK2B,PSPA
CAMK2D,PSPA
CAMK2G,PSPA
CAMK4,PSPA
CAMKK1,PSPA
CAMKK2,PSPA
CDK1,PSPA
CDK2,PSPA
CDK3,PSPA
CDK4,PSPA
CDK5,PSPA
CDK6,PSPA
CDK7,PSPA
CDK8,PSPA
CDK9,PSPA
CHK1,PSPA
CHK2,PSPA
CK1A,PSPA
CK1D,PSPA
CK1E,PSPA
CK1G1,PSPA
CK1G2,PSPA
CK1G3,PSPA
CK2A1,PSPA
CK2A2,PSPA
CLK1,PSPA
CLK3,PSPA
COT,PSPA
DAPK1,PSPA
DCAMKL1,PSPA
DCAMKL2,PSPA
DNAPK,PSPA
DSTYK,PSPA
DYRK1A,PSPA
DYRK2,PSPA
DYRK3,PSPA
DYRK4,PSPA
EEF2K,PSPA
ERK1,PSPA
ERK2,PSPA
ERK5,PSPA
ERK7,PSPA
GCK,PSPA
GRK1,PSPA
GRK2,PSPA
GRK5,PSPA
GRK7,PSPA
GSK3A,PSPA
GSK3B,PSPA
HASPIN,PSPA
HGK,PSPA
HIPK1,PSPA
HIPK2,PSPA
HIPK3,PSPA
HIPK4,PSPA
ICK,PSPA
IKKA,PSPA
IKKB,PSPA
IKKE,PSPA
IRAK1,PSPA
IRAK4,PSPA
JNK1,PSPA
JNK2,PSPA
JNK3,PSPA
KHS1,PSPA
LATS1,PSPA
LATS2,PSPA
LKB1,PSPA
LRRK2,PSPA
MAPKAPK2,PSPA
MAPKAPK3,PSPA
MAPKAPK5,PSPA
MARK1,PSPA
MARK2,PSPA
MARK3,PSPA
MARK4,PSPA
MEK1,PSPA
MEK2,PSPA
MEK5,PSPA
MEKK1,PSPA
MEKK2,PSPA
MEKK3,PSPA
MELK,PSPA
MINK,PSPA
MLK1,PSPA
MLK2,PSPA
MLK3,PSPA
MNK2,PSPA
MOK,PSPA
MOS,PSPA
MPSK1,PSPA
MRCKB,PSPA
MSK1,PSPA
MSK2,PSPA
MST1,PSPA
MST2,PSPA
MST3,PSPA
MST4,PSPA
MTOR,PSPA
NDR1,PSPA
NDR2,PSPA
NEK1,PSPA
NEK11,PSPA
NEK2,PSPA
NEK4,PSPA
NEK6,PSPA
NEK7,PSPA
NEK9,PSPA
NIM1,PSPA
NLK,PSPA
NUAK1,PSPA
NUAK2,PSPA
OSR1,PSPA
P38A,PSPA
P38B,PSPA
P38D,PSPA
P38G,PSPA
P70S6K,PSPA
P70S6KB,PSPA
P90RSK,PSPA
PAK1,PSPA
PAK2,PSPA
PAK3,PSPA
PAK4,PSPA
PAK5,PSPA
PAK6,PSPA
PBK,PSPA
PERK,PSPA
PHKG1,PSPA
PHKG2,PSPA
PIM1,PSPA
PIM2,PSPA
PIM3,PSPA
PKACA,PSPA
PKACB,PSPA
PKCA,PSPA
PKCB,PSPA
PKCD,PSPA
PKCE,PSPA
PKCG,PSPA
PKCH,PSPA
PKCI,PSPA
PKCT,PSPA
PKCZ,PSPA
PKG1,PSPA
PKG2,PSPA
PKN1,PSPA
PKN2,PSPA
PLK1,PSPA
PLK3,PSPA
PLK4,PSPA
PRKD1,PSPA
PRKD2,PSPA
PRKD3,PSPA
PRKX,PSPA
QIK,PSPA
ROCK1,PSPA
ROCK2,PSPA
RSK2,PSPA
RSK3,PSPA
RSK4,PSPA
SGK1,PSPA
SGK3,PSPA
SIK,PSPA
SKMLCK,PSPA
SLK,PSPA
STLK3,PSPA
TAK1,PSPA
TAO1,PSPA
TAO2,PSPA
TBK1,PSPA
TGFBR1,PSPA
TLK1,PSPA
TLK2,PSPA
TNIK,PSPA
TSSK1,PSPA
TSSK2,PSPA
TTBK1,PSPA
WNK1,PSPA
WNK3,PSPA
YSK1,PSPA
ZAK,PSPA
