subfamily,Pearson,kinase
ALK,0.9687240382472451,2
AMPK,0.9450467888288144,2
ATM,0.8163373226117214,1
ATR,0.8774497566915567,1
Abl,0.959211333087695,2
Ack,0.8304238454083844,2
Akt,0.9749354398178577,3
Alpha,-0.059673912821588536,1
Aur,0.9232720978357835,3
Axl,0.9595617405556407,3
BARK,0.8885485384113581,2
BRSK,0.9083147529965336,2
BUB,0.2052772199686267,2
Bud32,0.0965030563472463,1
CAMK1,0.9222439702010995,5
CAMK2,0.8547697103407883,4
CAMKK-Meta,0.7959057443036129,2
CDC2,0.9669286517725512,1
CDC7,-0.028637909948183316,1
CDK10,0.90537931266635,1
CDK2,0.9127036888102493,2
CDK4,0.9607449097675131,2
CDK5,0.9504735730956366,1
CDK7,0.908771618884911,1
CDK8,0.7609370145911636,2
CDK9,0.9437454046866556,1
CDKL,0.76311665060942,2
CHK1,0.5935608958658601,1
CK1,0.9485480880074159,7
CK2,0.9180720286910079,2
CLK,0.8344878633395953,4
CRK7,0.9720252949809645,2
ChaK,0.17410015640898951,2
Csk,0.8866058948115154,2
DAPK,0.7920828111362217,4
DCAMKL,0.9019845007257057,2
DDR,0.8703946466470234,1
DMPK,0.8862831695687695,1
DNAPK,0.8136804931547298,1
DYRK1,0.93317067166819,2
DYRK2,0.8862173182096839,3
Dusty,0.38993830542674013,1
EGFR,0.9504840075222019,2
ERK1,0.9785047949677392,2
ERK5,0.608255129209609,1
ERK7,0.4683298999776286,1
Eph,0.976188981850131,12
FAK,0.8974104290820495,2
FAM20C,0.0869763394514572,1
FGFR,0.9708205381253163,4
FRAP,0.056210250773621635,1
FRAY,0.4583171905416098,2
Fer,0.9522189395039495,2
GCN2,0.6054640404374995,1
GEK,0.961368807268277,3
GRK,0.7832672499831739,5
GSK,0.7835955449698652,2
HIPK,0.9155392053684288,4
HUNK,0.5246748226820247,1
Haspin,0.20311438633714335,1
IKK,0.8395396581419197,4
IRAK,0.6311116078912136,2
IRE,0.7122555884451447,2
InsR,0.9786759497939203,3
JNK,0.9434410285545294,3
Jak,0.8955965740857642,4
KHS,0.9202311694624732,4
KIS,0.1024356569814594,1
LIMK,0.8146610807395935,2
LKB,0.11561635337347774,1
LRRK,0.16478215330071017,1
LZK,0.4976324586336549,1
MARK,0.9683757946387987,4
MAST,0.33743417181515345,1
MELK,0.895519451650076,1
MK2,0.8915470878522143,2
MK5,0.8232491158539527,1
MLCK,0.8660487257041963,4
MLK,0.8210462534980356,4
MNK,0.887753956698528,2
MOS,0.1730835192070912,1
MSK,0.9036920181683515,2
MSN,0.9457430092434094,3
MST,0.8599840413000737,2
Met,0.9794757343531983,2
Musk,0.95891896664331,1
NAK,0.7232549935083754,4
NDR,0.8178578969265451,4
NEK,0.7782348100131159,10
NIM1,0.631585687759316,1
NKF1,0.7342624924789267,1
NKF2,0.3011511319069187,1
NinaC,0.8925347478784241,2
NuaK,0.6852838654779158,2
PAKA,0.9623352278039712,3
PAKB,0.9256653046836624,3
PASK,0.5794647238281859,1
PCTAIRE,0.9527350119779561,3
PDGFR,0.9687321874767237,5
PDHK,0.6766899079964322,3
PDK1,0.4773525159721632,1
PEK,0.7136689797270005,3
PFTAIRE,0.949171499164324,1
PHK,0.8693800680119004,2
PIM,0.9184281590872057,3
PKA,0.9654973924393283,4
PKCa,0.9439893596037826,3
PKCd,0.9568750445075831,2
PKCh,0.9668088864094888,2
PKCi,0.9347979973121505,2
PKD,0.8924127922971792,3
PKG,0.9388235076806603,2
PKN,0.8984768721473274,3
PLK,0.7203152812876417,4
PRP4,0.47104650199558484,1
QIK,0.9334646854493797,3
RAD53,0.778938236540371,1
RAF,0.5934685330524654,2
RCK,0.8665795880048925,3
RIPK,0.62712483511819,4
ROCK,0.9788124266214936,2
RSKp70,0.9295578239076135,2
RSKp90,0.957589872390004,4
Ret,0.9689903951817258,1
SGK,0.8435235450234422,3
SLK,0.7786185586310446,2
SMG1,0.6834068591265833,1
SNRK,0.7001884703255854,1
SRPK,0.9422737016469763,3
STE-Unique,0.26246889076513596,2
STE11,0.7499031572306992,7
STE7,0.6995975272292756,6
STK33,0.33754889748551264,1
STKR1,0.9087575626687233,5
STKR2,0.7941925665679553,4
Sev,0.9815495027938403,1
Src,0.9671516548845432,11
Syk,0.9574405437995741,2
TAK1,0.6060882072888779,1
TAO,0.8546687076013452,3
TESK,0.09988085686683544,1
TLK,0.7178364941386047,2
TOPK,0.11276617856532854,1
TSSK,0.8477050673723502,3
TTBK,0.811601988213031,2
TTK,0.21816383777157422,1
Tec,0.9620583410042295,5
Tie,0.9651663263345024,1
Trk,0.9697832930559267,3
ULK,0.5993320785192563,3
VEGFR,0.9643781045781612,3
VRK,0.6513869372014742,2
WEE,-0.09011506554725046,1
WNK,0.6182403066633149,4
YANK,0.8166840920260132,2
YSK,0.8670290327997275,3
ZAK,0.7485789277755258,1
eEF2K,0.5041214722493955,1
nmo,0.8594411336091198,1
p38,0.9647881884964642,4
