fold,mse,pearson_avg,model,type
0,0.41773721575737,0.7472326287270074,mlp_t5,DL
1,0.4232611656188965,0.7385701658490916,mlp_t5,DL
2,0.38903364539146423,0.7669575533050347,mlp_t5,DL
3,0.3778746724128723,0.7734792970790239,mlp_t5,DL
4,0.41839587688446045,0.7448391135990564,mlp_t5,DL
0,0.3971513509750366,0.7600250111481738,mlp_t5_kd,DL
1,0.3999098241329193,0.7565339235438721,mlp_t5_kd,DL
2,0.37033697962760925,0.783336692065056,mlp_t5_kd,DL
3,0.3444214165210724,0.8022494091868302,mlp_t5_kd,DL
4,0.3734184205532074,0.7824541516472605,mlp_t5_kd,DL
0,0.3856365382671356,0.7632553828712246,mlp_esm,DL
1,0.4367380142211914,0.7310241951489957,mlp_esm,DL
2,0.3975211977958679,0.764488051651254,mlp_esm,DL
3,0.39900141954421997,0.7606839529291073,mlp_esm,DL
4,0.4192677438259125,0.7586461831515225,mlp_esm,DL
0,0.37468814849853516,0.7679598579921889,mlp_esm_kd,DL
1,0.40335917472839355,0.7567947446838013,mlp_esm_kd,DL
2,0.3781975507736206,0.7812073720454127,mlp_esm_kd,DL
3,0.3506574332714081,0.7909341176603765,mlp_esm_kd,DL
4,0.3725016415119171,0.7815053000464013,mlp_esm_kd,DL
0,0.3691422939300537,0.7754276957020156,cnn_t5,DL
1,0.4010120928287506,0.7651216766838794,cnn_t5,DL
2,0.3784180283546448,0.7728784615360021,cnn_t5,DL
3,0.3725717067718506,0.7783232830734855,cnn_t5,DL
4,0.383209228515625,0.7702915558267569,cnn_t5,DL
0,0.36613231897354126,0.7832281264408881,cnn_t5_kd,DL
1,0.35675445199012756,0.800238880953342,cnn_t5_kd,DL
2,0.3326706290245056,0.8121573100971246,cnn_t5_kd,DL
3,0.3211401402950287,0.8147402974032413,cnn_t5_kd,DL
4,0.33977916836738586,0.8016186578923468,cnn_t5_kd,DL
0,0.38143080472946167,0.7636345543165958,cnn_esm,DL
1,0.4244258999824524,0.7512494715388291,cnn_esm,DL
2,0.38800615072250366,0.7684317013983863,cnn_esm,DL
3,0.38461071252822876,0.7662163832433136,cnn_esm,DL
4,0.38884881138801575,0.7725222803369517,cnn_esm,DL
0,0.3591979742050171,0.7813495310192121,cnn_esm_kd,DL
1,0.37805816531181335,0.783050015485364,cnn_esm_kd,DL
2,0.3419156074523926,0.8040542345163103,cnn_esm_kd,DL
3,0.32320839166641235,0.8073201899826569,cnn_esm_kd,DL
4,0.3378928005695343,0.8070762150814647,cnn_esm_kd,DL
0,0.8305488773478505,0.6930605953038594,LinearRegression_t5,ML
1,0.6923737410783446,0.6996695639156616,LinearRegression_t5,ML
2,0.7311905217300345,0.7085800914277713,LinearRegression_t5,ML
3,0.758216249639728,0.6908260045416555,LinearRegression_t5,ML
4,0.7259651424815199,0.6874059839830317,LinearRegression_t5,ML
0,0.876272220880096,0.7168237158997348,LinearRegression_t5_kd,ML
1,0.640510389268128,0.7313344413474504,LinearRegression_t5_kd,ML
2,0.7465046937020047,0.7428920102662677,LinearRegression_t5_kd,ML
3,0.6452625186203507,0.7328061604633839,LinearRegression_t5_kd,ML
4,0.7905770113617996,0.7262959413496162,LinearRegression_t5_kd,ML
0,0.6145411768021929,0.7195157905459972,LinearRegression_esm,ML
1,0.6062652071843844,0.7225142804212076,LinearRegression_esm,ML
2,0.5792239743898168,0.7196494377833041,LinearRegression_esm,ML
3,0.6019134375116184,0.6973150658724243,LinearRegression_esm,ML
4,0.6561928649068391,0.715944988619447,LinearRegression_esm,ML
0,0.6540101919243976,0.7366236614596734,LinearRegression_esm_kd,ML
1,0.54180021022604,0.7398993055671843,LinearRegression_esm_kd,ML
2,0.6083567256002541,0.7371663531389699,LinearRegression_esm_kd,ML
3,0.5551048778913811,0.7485330633233251,LinearRegression_esm_kd,ML
