kinase,max
CK1G3,0.8198084810243089
CK1A,0.7910403665200111
YANK3,0.7566930454845774
GSK3B,0.744286892484858
YANK2,0.7393246725701432
GSK3A,0.7275607208697751
CK1D,0.6975262292521174
CK1A2,0.694207839597993
CK1G2,0.6920605399132513
SBK,0.6591100921828585
ERK7,0.6475052174435295
AAK1,0.6396004279668618
FAM20C,0.6384193506526109
CDK17,0.6357580525733927
SGK1,0.6250933276963946
P38D,0.6235743720569871
CDK3,0.619119438653471
JNK1,0.6184302601297232
P38G,0.6147545976495347
AURA,0.6122590542716997
CK1E,0.6102230978097882
CDK16,0.6068963256195191
AKT3,0.6062987705033808
CDK4,0.6015099698157018
JNK2,0.5990446141693843
CDK19,0.5956040554797979
CDK12,0.5952485485725821
DYRK4,0.589741392942099
CDK10,0.5800209089074936
CDK6,0.5745396947506569
SRPK2,0.570421699555672
HIPK2,0.5701728327402181
CDK18,0.5701153084703888
CDK1,0.5697841037857104
ERK1,0.5675330326488363
VRK1,0.5674621092655984
CDK13,0.566567443775116
CK1G1,0.5628992983405432
JNK3,0.5619184374800189
CDK9,0.561412056025003
CDK7,0.5584623364980422
CHK2,0.5482887200712777
CDK8,0.5425194985779905
CDK14,0.5400037030331615
DYRK1B,0.5359829203507674
PAK4,0.5248637709056581
AKT2,0.5209616845744697
AURB,0.5209112224443623
P38B,0.5171357673057846
CAMK1A,0.5112513936987836
BIKE,0.5110749667088118
ERK2,0.5104992634836278
AURC,0.504939672478433
KIS,0.5020210997318229
CRIK,0.4936214949543951
PKACA,0.4769530095042939
PAK5,0.4725984434487562
SRPK3,0.4708431001141537
HASPIN,0.4662239748235509
AKT1,0.4662081812263033
CDK5,0.4633435998477133
RSK4,0.4595748288231023
SRPK1,0.4576867283985845
CAMK1D,0.4549459878908893
CLK2,0.4542827025360931
P70S6K,0.4521218322416192
DYRK2,0.4510886747872087
PRKX,0.4510313560445498
PKACB,0.4411696461060339
MSK2,0.4368764728957426
PIM2,0.4326065083765398
HIPK1,0.4314999988229734
PKG1,0.4297148079425317
PAK6,0.4295407489590233
P38A,0.4233316962179608
PRP4,0.4227046451005625
MAK,0.4215250132467547
PKN1,0.4188295522732851
P90RSK,0.4159667210576114
CLK1,0.4151359460228065
DYRK1A,0.4146264046275468
MSK1,0.4137512498379644
GRK3,0.4136664146072299
ATM,0.4100348371638149
RSK2,0.4084261646388921
RSK3,0.4081097131659925
PRKD3,0.4052796542692161
CLK4,0.404979932833596
MAPKAPK5,0.4015694724947433
HIPK3,0.3996838033497347
DYRK3,0.3919568413423392
CAMK1G,0.3884072680707144
MOK,0.3881824402735533
MAPKAPK2,0.3860741699248849
CDKL5,0.3816100074933292
PKG2,0.3807481464122281
SMG1,0.3778175038093176
GRK2,0.3777073089969515
PIM1,0.3772582722670405
DNAPK,0.3769337532581912
MRCKB,0.3757292619849815
CK2A2,0.372442333515597
CK2A1,0.3690038277743095
DMPK1,0.3676396455595196
CDKL1,0.3641628092900362
CDK2,0.3639886136271908
TTBK1,0.3631427824544446
DAPK1,0.3616007012426727
STK33,0.3553049573092252
MRCKA,0.3545530145818667
PBK,0.3539846518482026
ROCK1,0.3485176628324452
PRKD2,0.3455762525922846
PAK2,0.3443839602956595
MYLK4,0.3438904219079231
SIK,0.3325110172780011
PLK2,0.3322376778895335
BMPR1A,0.3309019275784657
PAK1,0.3302256942809006
SGK3,0.3290298759355272
P70S6KB,0.3265176443376495
DAPK3,0.3237990801801187
TGFBR1,0.3147458962078785
MARK3,0.3061058209953327
ASK1,0.3016462152854186
NUAK1,0.2993981387715688
BRSK1,0.2991537470913809
PAK3,0.2978270374129347
ROCK2,0.2963234585459692
MAPKAPK3,0.2958930354293893
DCAMKL1,0.2938883183323339
ALPHAK3,0.2924217381652766
LATS2,0.2918325415411134
MARK2,0.2896536022845423
PKACG,0.2894442271861871
ALK2,0.2865161574531918
ICK,0.2859683431847862
PKCE,0.2851400848397983
SMMLCK,0.2825653093101839
MNK2,0.2769434166612257
ATR,0.2750121855068821
ALK4,0.2745487227752135
DCAMKL2,0.2704677627420973
PIM3,0.2704576176675792
GAK,0.2667834511169853
BMPR1B,0.2651264590647151
CAMK2A,0.2592064774570123
MELK,0.2588112734621932
MNK1,0.2574152335192893
NUAK2,0.2536237224608248
NLK,0.2527784812502665
BRSK2,0.2522611402831107
MARK1,0.2522262633345101
HIPK4,0.2502408203386114
TGFBR2,0.2470627026470553
PKN3,0.2456827869882079
PKCI,0.2448648718592541
