kinase,-5P,-5G,-5A,-5C,-5S,-5T,-5V,-5I,-5L,-5M,-5F,-5Y,-5W,-5H,-5K,-5R,-5Q,-5N,-5D,-5E,-5s,-5t,-5y,-4P,-4G,-4A,-4C,-4S,-4T,-4V,-4I,-4L,-4M,-4F,-4Y,-4W,-4H,-4K,-4R,-4Q,-4N,-4D,-4E,-4s,-4t,-4y,-3P,-3G,-3A,-3C,-3S,-3T,-3V,-3I,-3L,-3M,-3F,-3Y,-3W,-3H,-3K,-3R,-3Q,-3N,-3D,-3E,-3s,-3t,-3y,-2P,-2G,-2A,-2C,-2S,-2T,-2V,-2I,-2L,-2M,-2F,-2Y,-2W,-2H,-2K,-2R,-2Q,-2N,-2D,-2E,-2s,-2t,-2y,-1P,-1G,-1A,-1C,-1S,-1T,-1V,-1I,-1L,-1M,-1F,-1Y,-1W,-1H,-1K,-1R,-1Q,-1N,-1D,-1E,-1s,-1t,-1y,1P,1G,1A,1C,1S,1T,1V,1I,1L,1M,1F,1Y,1W,1H,1K,1R,1Q,1N,1D,1E,1s,1t,1y,2P,2G,2A,2C,2S,2T,2V,2I,2L,2M,2F,2Y,2W,2H,2K,2R,2Q,2N,2D,2E,2s,2t,2y,3P,3G,3A,3C,3S,3T,3V,3I,3L,3M,3F,3Y,3W,3H,3K,3R,3Q,3N,3D,3E,3s,3t,3y,4P,4G,4A,4C,4S,4T,4V,4I,4L,4M,4F,4Y,4W,4H,4K,4R,4Q,4N,4D,4E,4s,4t,4y
AAK1,7614134.38,2590563.43,3001315.49,4696631.43,4944311.77,8315837.72,10056545,16433061.43,10499735.53,9133577.86,4493053.86,10062728.22,3327454.51,3504742.95,2767294.24,10105742.33,5923673.04,2909152.87,1695155.97,1617848.59,2128670.48,2128670.48,6460994.89,5260312.92,6325834.43,6957993.77,5369434.9,5713920.54,6612201.68,6093662.03,6120308.98,7306988.18,6829677.84,5119221.55,5263235.93,3974771.07,5065007.89,7968511.43,7041049.08,6174443.51,4228327.2,3271230.67,5511933.84,3267817.62,3267817.62,3338569.94,8921287.46,4210322.63,9202467.84,5247517.95,6741480.38,6810877.54,5271476.43,4928031.78,4337561.8,6432256.95,4006022.34,3383022.36,3493591.45,3269349.53,4253143.83,4777087.04,5719013.51,4787112.42,2233864.71,3045337.18,2489664.19,2489664.19,2253600.17,2216028.59,2766177.13,5269960.36,5606488.15,5715776.94,8442376.88,3330815.96,3699660.08,5573758.37,11418739.19,3289921.82,3904724.03,2831767.59,5548344.99,5749698.72,5431820.79,14853623.17,7911791.51,7877660.92,6228872.38,2050311.16,2050311.16,4757608.56,12743566.74,7922825.91,4320088.81,3424101.65,2951131.47,3531424.24,4395648.71,4876361.62,7337788.35,6213208.09,6110446.84,8716736.64,4935259.96,7723412.28,13791485.68,10359621.72,4456718.79,4865705.32,1811253.16,1639403.12,1357999.07,1357999.07,2002371.19,6415286.88,99964895.25,4316874.96,3007074.62,2745785.51,8910120.32,1483692.44,1412340.64,1811600.47,1711244.81,1783236.05,1979521.48,2246919.31,2217612.04,2688447.64,3450817.64,1911929.56,2358432.64,1421652.45,1359587.84,1706013.09,1706013.09,1389641.63,5119157.71,7278540.04,7284322.4,6474714.78,8229140.75,31325167,5271194.4,3595811.04,4019474.24,4672000.36,4719445.91,4458958.54,5560394.09,6019747.75,5603858.75,7520620.82,7492737.3,8100331.77,5364638.21,5087031.12,3976345.18,3976345.18,3984759.21,7873214.56,10666925.1,6726092.35,8347110.75,8474126.59,36243425.13,7049439.08,4480458.41,5646461.38,5049205.04,4966940.21,6154422.64,5554384.65,7784625.71,8536454.84,10411516.21,7199439.88,8496115.61,4678462.79,4293019.55,3871242.35,3871242.35,4144314.24,6754640.94,7548893.13,6945441.59,6316583.85,5852227.64,11986373.78,4544765.44,4468425.8,4958371.35,4992757.2,5630292.14,5605199.37,8889242.83,6020662.73,8938081.41,9983402.01,6833481.55,6364453.29,4189045.89,4921595.57,2705053.53,2705053.53,2909279.71
ACVR2A,4991039.28,5783855.86,7015770.78,8367603.09,7072052.48,7601399.57,7188292.41,7513915.73,7159894.71,6266122.81,7217726.01,6944709.95,9655463.75,6855044.9,6135259.88,5714942.29,5174360.28,6446237.55,10676798.47,9490370.51,9417512.45,9417512.45,9143262.67,5189500.9,6115977.27,6183207.45,8746774.91,8620216.35,8958568.82,6057960.27,5865979.65,5795429.17,6425254.28,6896823.79,6528270.38,8404648.4,6144455.59,4524121.26,5095303.46,5374811.94,5585576.72,11592053.32,9685649.12,9011965.48,9011965.48,7594632.1,5362570.64,6972103.63,5730145.4,8939563,8882396.89,9190426.82,5827104.19,5369092.23,5113057.94,5497993.14,5506587.16,5872246.52,6306875.17,5653091.4,3785783.33,4917762.58,5423081.45,5362812.26,11212957.52,12861894.95,12864905.98,12864905.98,10409124.62,2387566.18,3719260.44,3944902.95,13065086.92,9492139.23,8190708.05,3735685.73,3374694.08,3204387.82,2964892.35,3752110.5,3701143.76,4014811.08,3625177.9,2636456.76,3752366.69,5717785.76,5027610.59,31991048.32,38904733.2,7519770.93,7519770.93,5361107.35,3979856.52,3356955.48,4841646.42,14843896.03,7884721.89,8307355.21,6504731.08,4736171.24,7504065.67,8479523.23,6886559.95,7839785.04,8170003.32,6301556.7,3133305.9,3399144.04,5297925.78,4806449.34,7245964.01,7619248.38,8081957.45,8081957.45,10665551.58,1962410.84,3317170.91,3730968.37,10441425.87,6905481.5,7758917.55,7639849.76,6777723.81,5034766.37,5741319,5371631.94,5597503.85,5543419.04,4036400.21,1885554.07,2399467.34,7087499.47,3680225.89,9707458.36,18505526.37,26806229.59,26806229.59,16187744.66,5866522.32,8056284.2,6653384.32,8609148.01,6900909.95,6081477.26,5928764.4,5427120.9,4000029.05,5214509.68,5833632.75,6561916.21,5830995.61,6657869.64,4773873.27,5549060.2,5962667.67,5118947.28,7342349.21,6089086.81,6553062.94,6553062.94,5204999.87,6765402.33,5981896.69,5346578.8,6919984.14,7959489.88,7230276.28,5724908.7,5600557.92,6186548.03,5952584.6,6508513.22,6613614.54,6419485.14,5958101.56,4666926.4,3909037.15,5041118.65,5297856.53,6281516.23,8795439.82,5241575.71,5241575.71,8237893.33,7993593.88,5729648.65,5252569.87,7759899.88,5847330.49,6832130.05,5439639.57,5935276.66,5396841.45,6976824.69,5517910.17,6107147.03,8435953.93,6039472.76,5556300.56,5178734.62,6490097.7,5862480.97,6742905.78,6750653.36,7414220.16,7414220.16,6209576.97
ACVR2B,26480329.1,25689687.16,28137300.9,45175909.3,32876722.9,33516959.03,27011194.06,21996255.94,23412987.54,25670581.4,30029680.93,30172687.84,35861732.85,25743398.12,21466618.54,23457282.42,24765933.65,29600378.31,52942189.79,44756418.68,37869524.53,37869524.53,36929423.91,26315617.68,30726667.27,28226685.89,38126762.75,43013450.33,42772589.49,25461877.69,22496529.73,25367364.1,24579622.29,30632363.88,29811628.74,34569034.39,29901290.43,18566682.92,18058410.71,24160712.63,28003909.47,50383510.79,42873444.64,38601826.06,38601826.06,41781415.03,21589896.66,25896930.06,25366399.23,32391161.86,39268700.37,34953285.7,24544954.48,21195505.14,19950289.89,22068743.84,24723315.7,26493695.74,30467219.92,25540309.03,19859603.21,17098856.45,26065744.56,27157359.79,54792099.66,55014596.67,49089846.01,49089846.01,64369371.61,10383093.19,14625890.49,20808684.35,47636343.76,35304162.57,37962422.19,16548611.68,12258162.5,16494615.48,14200211.36,15925579.76,16320441.3,15878502.28,20560506.2,12498027.05,13954332.39,20433739.04,27129929.31,120964440.9,157702205.5,36557271.03,36557271.03,27458606.9,15819245.58,15139149.87,21342364.26,29521866.83,25664232,28391950.76,27701781.06,19818122.11,36672320.4,36335662.38,26878195.34,34779831.32,41496713.73,26825589.12,14727760.12,14104749.87,21513560.53,25187025.89,38662884.38,34714380.6,49330056.97,49330056.97,49257036.45,8904399.29,14948055.42,16765650.37,40252260.64,24215134.31,30636898.81,29960059.79,24650899.32,21201767.48,25848637.41,22155401.37,24952828.13,27310123.87,23192003.06,10480787.57,10537916.26,28697585.51,20916022.3,58048288.98,110387208.6,121893477.9,121893477.9,69945784.03,36115383.96,32738418.07,28447805.03,28467296.48,30620244.98,27892442.81,29113624.35,25315594.22,17742323.86,22296105.9,21802892.95,27379509.39,24510227.47,22526980.58,19271375.56,21215337.11,22082221.26,23980394.91,34155403.55,28198813.13,38385326.47,38385326.47,28511534.88,32570983.87,30150790.48,26899530.88,30059325.25,38558739.93,36859921.47,27039358.24,27590185.37,32159022.9,28530956.88,26440586.17,32902030.17,31106381.62,23931820.75,17025117.96,21234075.57,24959228.3,24492089.19,27379743.65,34799587.3,29745626.4,29745626.4,32930899.01,35872341.41,28942663.95,32630294.18,32307682.27,29351484.8,32158594.62,27585750.22,27087769.55,26427108.32,26008460.67,24006599.74,29260306.53,39105460.91,27984195.21,22496915.32,24236904.72,29132857.3,26527389.14,36388726.15,34729319.54,37906081.09,37906081.09,31761418.56
AKT1,18399509.29,18104681.05,16831835.48,17247743.9,22647275.57,17801288.32,13037570.99,13271896.32,14156489.52,15409761.84,16671963.73,15742204.09,16027501.16,19907160.04,28966209.27,46308665.22,14988023.16,14258599.4,11464166.24,11466588.37,12987224.59,12987224.59,13061088.75,19398931.56,22044179.39,19063613.39,16798065.92,24561075.64,21053645.01,16134289.55,14065393.27,15980319.99,19175233.16,15650650.91,16726542.08,20714995.14,21727731.71,39387269.3,58649797.06,19398853.5,17142314.75,12090323.96,14986249.3,16353759.94,16353759.94,14758361.18,13509722.97,12072788.52,14485106.48,13140602.43,20065358.79,15665910.69,6344537.74,6534731.06,7876057.8,7508915.65,7223254.58,9468824.32,9373015.3,22309094.06,62169227.98,241804548.9,14931574.94,8856712.42,4399325.5,4368741.57,8590356.3,8590356.3,7963766.19,6789907.74,13268000.87,21110618.12,21971629.68,41332981.64,40514113.91,9863410.69,9269011.71,22892565.64,11168273.31,11301067.87,8789774.53,7431841.39,18789568.98,48900192.16,163022632.9,12228020.08,9955364,3198070.49,2965348.3,7792556.58,7792556.58,6120956.35,22293028.49,28410424.95,15842330.43,14879920.18,24373755.69,18116410.05,9634836.58,7220572.84,20977914.39,24295340.44,17851764.42,26612602.88,14220032.24,25266134.27,38185706.19,37525548.94,21684468.18,30811109.25,15574350.1,8290898.95,6467371.45,6467371.45,19300394.93,7187402.87,13136588.59,9834130.15,18667564.57,25572492.56,24540953.28,27939307.19,33952990.53,24441788.18,33785347.17,46236500.98,17042662.91,22462502.25,15812139.32,17054957.55,19023143.41,21570182.92,18462014.12,5882718.69,5841048.34,9088320.9,9088320.9,11479510.37,14699453.43,21525508.02,18211185,23598117.67,61030368.3,40388451.24,22179287.33,20441529.87,22718840.65,15801551.87,15240719.77,18325689.88,16679331.51,31357623.66,26095263.75,39102369.13,18129455.91,21709667.73,10984748.38,7899072.12,9884167.72,9884167.72,12951695.66,19773952.19,28710820.58,19788527.29,24659376.3,38048939.96,28284495.88,18552859.18,19892556.3,19599278.84,19914391.75,24525110.15,23248076.4,22854369.53,30978724.22,37068344.22,45991399.36,22887074.13,25185236.76,11842652.96,12741276.18,13591360.01,13591360.01,13703183.16,41007225.21,26477432.58,21719674.69,20203616.26,38961301.73,32270913.63,18364889.1,16918422.73,20570253.26,20228125.32,17323199.08,15512400.43,23151572.85,29511541.69,50942663.29,48152924.11,32693882.62,28896602.57,19701350.3,13887460.52,17483074.6,17483074.6,11696833.54
AKT2,5439237.54,5569477.23,5805462.7,6301076.01,5004932.12,4812022.8,3906822.27,3776845.45,4450344.85,4629319.8,4945257.93,4922327.73,4818865.35,5502849.58,8846468.4,13331891.81,4466206.11,4288906.37,2757476.64,2846855.07,4120973.53,4120973.53,4296409.6,5553404.98,6777166.7,6560098.67,6582761.9,5632446.4,5626768.67,4006942.83,3777456.81,4557921.65,5073875.76,3998927.33,4589150.59,3853565.73,5877347.98,11323980.56,13410263.75,5637101.36,5224016,3264181.56,3696233.79,4296297.38,4296297.38,3662821.27,2964033.65,3057508.32,4553667.71,5296786.48,4880459.72,4469909.37,2397056.82,2383607.99,2527122.34,2537478.97,2505546.76,2706594.73,2558155.12,4758158.69,16642999.72,87803587.32,4181479.55,2649826.02,1856813,2009071.96,3014998.55,3014998.55,2786490.48,2330601.7,3722199.05,5979230.51,8974567.12,13632411.94,10105631,2942671.35,2646410.48,4742426.87,2952548.95,2697527.22,2668970.71,2644657.15,4975136.47,17108283.08,36472058.33,3975190.12,3308858.09,1834547.33,1841426.05,2918462.36,2918462.36,2568865.61,6512287.04,6714446.62,5519547.24,5502392.17,6214686.11,5051604.22,3036099.23,2495300.1,4484786.48,5714877.99,4615614.03,7993743.25,4279316.71,7406520.17,7869914.93,9347586.23,6492965.18,9718326.28,3850428.89,2650873.62,2558031.84,2558031.84,4818770.25,3390428.52,4010009.36,3705137.46,7307114.68,5708742.09,5610130.63,4741527.67,5361541.18,5198119.65,6335041.93,8358213.97,4558845.44,4563970.27,4449433.29,4786097.96,5282519.45,5576834.25,5150662.99,2286465.27,2105026.98,3628509.62,3628509.62,4152546.04,4557267.8,6705472.43,6335117.94,8824774.96,18469567.17,8797708,4532827.16,3618750.27,4297882.08,3940764.85,3314977.87,4326879.06,3564337.8,8661597.97,6560407.19,6956135.73,4339532.45,6049276.73,3175814.63,2833442.97,5420413.57,5420413.57,5570730.59,5492323.72,6803045.82,5712262.24,8338449.42,6916137.16,5765528.76,3987390.37,3310626.06,4606344.89,3944710.78,4615743.61,4760316.9,4766437.21,7463546.47,9581858.17,9777288.15,5173060.6,4932877.74,3157981.08,3133584.99,4337162.19,4337162.19,5399811.38,9707178.16,7244546.68,5450860.89,7077129.19,7739122.9,7823932.94,3778464.64,4053742.59,4346509.71,4803778.43,4018212.65,4513237.41,4161648.84,6812201.58,11590683.5,9932525.89,6544476.93,6252360.75,3629091.99,3510048.19,5499662.3,5499662.3,4188620.88
AKT3,8559223.07,7583870,9046028.64,6968190.63,11072182.24,7557550.77,4947308.35,4120263.24,3977595.38,4632095.61,4799405.04,5373327.99,6051255.85,8436172.56,15394923.71,21194395.83,5693006.06,5241880.23,3317798.58,3120202.34,3897044.16,3897044.16,4413606.74,8234782.7,8055528.24,8644089.93,7011761.82,7984333.72,6592642.6,4952995.81,3990017,5000006.69,6452705.64,4733345.05,5632685.84,4945085.26,7673887.46,16941309.72,23855889.56,7905628.46,6532160.63,3805599.73,4323642.13,4740125.86,4740125.86,4159064.18,4680908.16,3794112.95,6128302.51,5251809.34,5969945.96,4605861.42,1693255.53,1504244.52,1896665.39,2064294.69,1930901.06,2555531.35,2515953.33,6451863.49,17304848.67,131654870.6,5778330.89,2773830.97,1497838.3,1588683.98,2940429.29,2940429.29,2562722.25,2660609.89,4649000.85,8593995.73,8582857.03,20806999.73,17017550.34,3047898.76,2575674.94,7262152.65,3678304.43,3008716.37,3063283.06,2381591.62,10973017.91,28369814.99,69276642.64,4030107.12,3508248.23,1404496.59,1336273.48,2765126.08,2765126.08,2474053.01,9636170,10830920.76,7380519.49,6577499.3,8713183.59,7225196.13,3400519.96,2076955.19,6314058.23,9435439.8,6623026.81,12357614.67,5476916.13,9974507.9,13940147.57,13751741.13,8734181.76,15273874.41,5664699.23,2960760.96,2358589.03,2358589.03,6656996.12,2650320.93,5039652.26,4489908.9,8823383.29,9147973.64,7880502.99,7969898.09,8370882.91,7385609.62,10311166.71,14605969.34,6774660.15,6433146.34,6256527.92,6257001.15,7091227.01,5825774.69,6542655.72,2473274.23,2121019.98,3716763.95,3716763.95,4181151.36,6039206.25,10435607.63,9180555.39,12252311.39,25654421.18,12780310.73,8294190.81,5852750.11,7993024.4,6267778.11,4825221.15,6576105.51,7427673.4,16669120.45,10572914.01,14764858.02,5796261.96,9278717.43,4535251.44,3120036.51,3745880.45,3745880.45,5312302.94,6894820.2,9649575.67,7099166.14,9627143.07,10193932.99,7229804.15,5816861.13,7678654.95,7135128.8,5877052.06,6744244.67,7119087.49,9126010.86,11899564.38,15545232.66,15244843.52,8031931.72,7459843.19,4059451.05,3803629.78,5582451.76,5582451.76,6054427.88,24203658.36,9701847.84,6826754.36,7455329.85,12096439.86,9927346.09,5962274.85,6248239.48,6161911.26,6476328.62,5463523.42,6304886.84,8233580.03,10018725.54,16293606.42,13888979.23,8860393.49,9260602.77,5293972.72,4482998.74,5780153.85,5780153.85,4671382.09
ALK2,13734100.62,16896817.06,16976931.67,25848472.08,14410136.76,17757525.39,14396239.3,13516189.62,12981522.02,14548631.74,16236702.52,15044603.24,17728704.35,15466273.84,14152400.35,13610016.32,11147094.4,14292882.04,18385030.25,17329201.27,15990336.19,15990336.19,17602805.63,13345608.27,17654000.34,13566707.7,19952213.93,16009788.24,16727672.89,12765730.06,14493115.57,14666815.74,14397239.19,13477662.29,17544662.57,18816157.04,14586964.91,11786212.2,11774792.52,12114211.96,12290493.69,25048085.07,22004150.3,16029871.54,16029871.54,18619732.42,12447156.46,16186638.38,11928316.66,20641399.38,23511847.68,26024102.04,9723734.51,11768383.14,11942913.97,13521177.67,12543463.61,12921935.18,11477842.33,13653699.5,8651202.17,10383356.59,10305040.01,14828998.22,20054937.64,23592834.63,18703356.54,18703356.54,18272342.34,6151456.7,10905082.07,7998543.66,20156153.23,16663344.47,17126498.06,7043101.56,7797602.93,10336059.24,13576477.49,7114884.32,6535692.63,6980631.82,8390566.49,6195285.49,8098376.43,11264967.65,10879164.1,29354742.52,100555177.8,27498181.31,27498181.31,10336150.38,6774058.54,7126634.51,10225596.11,18443378.25,18759010.48,20674489.83,13478383.17,13622213.74,18715722.64,22387592.99,11842861.8,17579942.29,12483624.81,14359269.62,7914222.4,9312653.56,11690333.36,13867569.74,20492874.48,23185397.97,14337345.73,14337345.73,18945576.41,5558439.55,10927017.66,10566982.52,24645032.05,16250301.45,24612236.66,17708537.25,12906182.19,10801538.88,11795808.12,11152891.76,15839545.34,15386947.92,11670270.19,5668387.39,6718264.62,10760876.75,11428798.95,22296785.43,60914759.7,35024150.74,35024150.74,33392030.6,14821061.98,20175339.15,14217308.34,16922729.02,13966120.74,13567622.08,9262715.01,8431891.56,8934740.53,9907237.38,10349016.61,17215531.13,11895022.04,16722836.44,10284232.14,12595784.32,12711497.25,13450940.6,26742437.53,28895113.24,22730948.95,22730948.95,20366260.86,16535269,13687616.49,13734004.28,18269149.09,17884981.31,20414949.34,12754976.65,11476921.81,12888543.36,14607908.49,14487198.11,17212464.12,18998655.33,14043404.48,7982509.05,9738914.05,12904290.14,15597906.55,22100590.3,27270479.08,15810942.98,15810942.98,19936199.46,14353600.35,14296735.62,11921436.36,18200052.52,13041517.11,16362584.24,11519470.21,11827869.95,10853845.42,14051661.18,14801729.47,13632909.13,18499693.97,13511185.21,9946797.63,10499543.22,14856193.77,14794094.89,24898666.38,25853817.12,23341897.77,23341897.77,18354465.03
ALK4,16173668.51,16806568.56,17715698.52,20049909.25,19413635.24,19498126.29,14055985.47,14425836.93,16038460.25,16682364.16,19408399.84,16419744.4,20530625.14,21352763.81,19091399.83,19193388.95,13948619.18,17401732.84,19233546.84,14442739.44,18963390.79,18963390.79,17775594.79,16496909.41,18059789.43,15641904.29,22036022.91,25278425.11,28117473.37,14797816.86,15333439.43,16420712.07,18637367.31,17882148.33,17508576.73,17642365.72,17490072.96,17325655.15,15602438.74,13470160.71,16738052.12,27177167.47,22067099.85,15722338.07,15722338.07,22035802.25,14545483.23,17210646,14627848.39,18073708.97,22765268.15,23410240.72,13314393.97,13132586.21,13041304.8,15321041.81,15793863.21,15277842.54,13697149.23,15695553.01,12254211.08,13577690.86,14680171.22,14737447.97,20801178.81,23284194.42,20616543.26,20616543.26,15650078.27,9463061.78,13811580.02,12421393.86,27121070.22,19671594.34,20996219.15,10387941.56,10727277.45,10298654.84,8561887.47,8576061.36,8439959.03,10200169.73,10445472.06,8333485.3,10758744.72,12407204.58,12337384.55,27153696.79,108731484.6,23483674.18,23483674.18,11709099.25,10908415.45,9305781.16,11923613.73,20946080.47,22393437.56,25098912.38,15971350.73,14316430.86,19018843.95,20791392.21,12824238.57,14188499.66,11759294.17,16533283.55,10695339.91,12601221.88,14793429.93,13785162.91,15005724.58,18883437.07,12712533.22,12712533.22,18109295.58,9451171.89,10890564.54,10317836.24,26861755.05,17555968.63,39256333.29,16291918.78,16504388.61,14348217.01,18171082.26,14885096.84,16766219.44,15571016.74,10246021.81,7412915.51,8263452.16,12906135.79,10580293.34,15989999.62,23904357.24,40059022.06,40059022.06,48783391.99,14073967.54,12017431.25,16288008.14,19575716.89,16835786.85,14419161.22,14287124.38,13709500.38,14703224.73,10452329.4,12226441.78,13632042.71,11108020.9,9779286.12,7843170.99,9231478.62,11493940.07,10893503.88,13396693.83,10228233.26,12785280.11,12785280.11,21378744.6,14629913.66,15652631.27,11640817.31,18223619.83,22054565.16,21098738.04,13982638.56,13630822.43,13016175.04,13322308.94,15260271.25,12219476.81,11608186.79,12189645.94,7782311.79,8514912.2,11695928.67,9527941.25,14214019.63,19747611.6,12116662.44,12116662.44,16446914.07,17539008.19,9858023.31,13128662.43,15081305.28,10816942.87,11609263.67,11478513.53,10568942.77,10107089.95,11941883.29,12324147.47,12464319.48,13210912.84,11957733.28,11067723.06,9877186.87,12506947.21,12049013.02,15276948.33,14697793.96,16811151.77,16811151.77,18695768.58
ALPHAK3,505390.8,422811.08,223893.74,409382.49,428282.75,657059.32,518196.67,533030.16,348682.2,595889,479026.85,396860.57,319150.48,396948.96,489262.88,664159.01,603960,561346.74,839462.48,950375.25,781929.69,781929.69,954085.17,531155.58,416217.32,338987,629039.92,618617.18,1159650.97,285244.36,442611.56,398097.8,339496.91,532675.52,386663.8,479842.65,644379.89,684352.26,570443.47,395469.27,456142.14,1042184.37,925101.84,740059.08,740059.08,962613.95,462980.87,334022.09,422173.07,700499.83,421538.08,873098.91,337276.78,295486.63,190405.24,437757.52,368194.5,458982.21,270669.21,589453.93,440065.99,494926.38,401535.68,539311.12,1333109.41,889824.42,1104288.7,1104288.7,746333.41,687065.14,326040.78,574415.05,977479.37,176189.72,1190352.44,485137.25,457393.49,575940.97,504483.36,279563.39,527831.16,344227.85,208188.36,267533.29,355814.88,583847.84,320231.13,833960.37,255855.14,847877.41,847877.41,218465.45,408785.74,405127.38,485805.17,686257.59,442096.58,439992.06,288858.96,589484.76,357176.83,497143.87,437770.82,419354.31,528800.73,395236.18,572084.79,370976.4,473412.13,290370.51,1144935.9,963703.21,869478.56,869478.56,4573611.73,169163.03,175485.91,169985.74,332776.52,188261.94,720217.87,241933.8,550577.09,205626.76,707096.67,430179.21,483211.83,352263.08,499848.18,336185.04,534856.62,440203.61,325818.82,305796.05,1453381.95,210749.25,210749.25,757318.14,415026.77,287794.45,25778.29,353261.07,211004.38,612376.1,442407.22,464335.61,455297.4,562455.93,447424.72,195500.23,415039.27,436044.85,607978.6,265560,252572.76,486448.49,363841.89,830682.28,547827.48,547827.48,542701.95,368486.49,171908.28,237414.17,716305.85,207646.78,338399.04,500645.68,354773.01,515721.44,703980.51,642233.69,550441.2,497886.07,472477.52,507249.94,441089.84,401501.71,457460.79,618467.57,574010.44,622978.19,622978.19,817548.4,483484.4,390163.63,427565.75,490737.69,152030.81,394406.5,382193.3,157944.79,300369.39,280776.13,438382.47,445143.21,458757.83,574192,456259.02,323869.34,382386.1,570378.18,505770.71,531069.98,812136.16,812136.16,1239929.43
AMPKA1,88641374.2,80467720.26,85236096.26,90732691.08,125343024.1,88420611.81,73606213.34,132206614.5,153405967.8,140953833.1,112426247.4,78474207.69,68623897.29,76624083.19,126405806.7,160930285.4,79502962.6,67962591.25,35816220.33,35116322.77,68198343.43,68198343.43,73070013.99,119846576,121198109.9,122124451.7,88956733.9,121508970.7,117281978.6,73527065.89,66566257.73,64938716.04,90387312.98,68937038.05,71237835.19,68773728.32,119810614.2,212158222.7,218883186.2,89702471.63,95689939.91,50230040.54,63622664.05,73140144.84,73140144.84,49678106.73,130524411,111163129.8,105631259.7,78512403.66,204164622.6,142827861,59668374.48,50240405.55,56262556.76,76084740.91,64519866.77,84634670.58,79149059.2,159610170.7,317421606.6,515142196.5,109916780.3,108668077.1,39969080.87,56575014.52,78992948.28,78992948.28,63769044.76,73096081.38,97978280.72,119030093.4,115079814.3,228035252.5,172579518.4,121320845,88113369.71,50480123.72,59606215.54,67077669.99,66828978.39,65862608.01,119599929.6,161953153.6,168803148.1,85935690.01,158815039.8,38540497.46,44391250.52,63369873.17,63369873.17,53024499.08,155390473.6,165268560.6,123482153,88555397.72,182835503.9,118676200.5,69536912.63,44726457.38,74311978.39,114757349,75861015.52,102642087.7,92255663.98,130604414.3,227919414.3,195503503.8,154848104.5,132442734.3,78582480.83,68263635.27,49286622.09,49286622.09,80813847.61,25859657,86568728.13,103813168,139336774.4,152259988.4,126053772.2,99965872.9,83983249.36,91036798.61,166570798.2,182231909.4,138134012.2,151369703.7,132439905.5,112491416.7,139331008.8,138168632.3,96284416.91,68211127.11,87507743.77,82556900.13,82556900.13,67693536.26,130931092,75721190.43,141015223.5,106765811.9,167074879,124597599.9,147813606.4,137398789.2,122602032.4,85340098.35,89719284.41,89505789.44,92049749,148204283.5,72196579.57,64787507.53,89131362.42,107927473.5,52848639.91,49513179.16,51178758.12,51178758.12,49904557.11,45967055.69,106452842.4,95833345.48,134195129.3,131564840,90696585.96,76677454.37,83208727.04,94782171.56,98273838.05,129317467.1,102151722.8,140546195.5,176849842.6,135902314.8,128459117,117453010.8,183274449.7,180097121.6,110307837.6,50390695.34,50390695.34,70861173.62,74222568.71,63756832.93,55549015.63,67536290.2,67194635.22,53218803.93,93789262.05,209962201.9,258482992.3,182708403.6,121333140.6,53852098.29,67105527.96,73328930.91,72942068.29,66909308.67,68145321.89,75050683.67,58667770.36,49991675.54,58668939.59,58668939.59,46980561.25
